ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
DTE,"[""community""]","[""all-stocks #11 50 mentions 174 upvotes; options #1 4 mentions 16 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #11 50 mentions 174 upvotes; options #1 4 mentions 16 upvotes""}]",136.06,28312461312,Utilities,Utilities - Regulated Electric,16.264906,1.7633,-0.015,0.224,0.13623999,0.1103,2.2906,-2596624896,buy,1.94118,14,156.85715,0.023699999,3.2,USD,USD,EQUITY,2026-09-09T20:00:03+00:00,-0.09171314593194489,0.15285278553579285,2026-10-29,2026-10-29,2026-10-29,estimated,50,2.40395,3437875010.0,0q,2.40395,2.47395,-0.0282948321510135,3,3,[],2026-09-09T20:27:00.174228+00:00,ok,{},0.008894442810938097,0.011757767867015545,0.0034361748793683144,6620616.86,0.7375479940344605,0.17265795206971676,0.013453031485818383,0.00812696347308319,0.708971051692642,0.25054466230936817,0.6553191489361739,0.5544662309368191,-0.0016502732240436231,0.12266924564796204,0.058823529411764705,none,0.0,0.03333333333333333,stage1_screen,2026-09-08,ok
SPY,"[""community""]","[""all-stocks #1 205 mentions 522 upvotes; options #2 4 mentions 26 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 205 mentions 522 upvotes; options #2 4 mentions 26 upvotes""}]",762.4,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-09T20:00:00+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-09T20:27:00.528987+00:00,partial,{},-0.005349398841829167,-0.0010562416054873403,-0.009003648029805245,936260323.59,1.1899672064074844,0.5822440087145969,0.007148824597849465,0.005118812242864099,1.292413494747709,0.8578431372549019,0.7523151167340574,0.6176470588235294,-0.0038463044670130468,0.5380331289943953,0.24727668845315903,none,0.0,0.05,stage1_screen,2026-09-08,ok
MU,"[""community""]","[""all-stocks #2 149 mentions 361 upvotes; options #4 3 mentions 47 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 149 mentions 361 upvotes; options #4 3 mentions 47 upvotes""}]",1027.77,1160756461568,Technology,Semiconductors,6.629695,0.1469,3.457,13.685,0.80370003,0.66638,0.0633,7639499776,strong_buy,1.34694,45,1513.1111,0.026600001,0.7,USD,USD,EQUITY,2026-09-09T20:00:01+00:00,0.006581483738354757,0.4722273465853255,2026-09-30,2026-09-30,2026-09-30,estimated,21,31.28341,50784289620.0,0q,31.28341,31.31417,-0.0009823028999331863,0,2,[],2026-09-09T20:27:02.453994+00:00,ok,{},-0.014512315270935994,0.043785413905729875,0.16040603248259866,558130134.6025,1.302158474979981,0.6693899782135077,0.04617396160179607,0.033039939983876686,0.8975044773787896,0.4422657952069717,0.318924854239805,0.2875816993464052,0.05748272966299098,1.2449165648536213,0.5359477124183006,none,0.0,0.016666666666666666,stage1_screen,2026-09-08,ok
NVDA,"[""community""]","[""all-stocks #3 120 mentions 678 upvotes; options #16 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #3 120 mentions 678 upvotes; options #16 1 mentions 1 upvotes""}]",223.67,5400959123456,Technology,Semiconductors,14.4126,0.5779,1.059,1.278,0.66236997,1.17211,0.16971,41809874944,strong_buy,1.28333,57,327.6544,0.0123000005,2.35,USD,USD,EQUITY,2026-09-09T20:00:00+00:00,0.007741194478296002,0.4649009701792821,2026-11-17,2026-11-17,2026-11-17,estimated,69,2.46983,108893417480.0,0q,2.46983,2.34527,0.05311115564519214,35,1,[],2026-09-09T20:27:02.450047+00:00,ok,{},-0.018984317303097464,0.022457665489450163,0.038300611522368744,798923955.405,0.8906712966518793,0.3066448801742919,0.03353176360438781,0.027170144378683862,0.7124358071354453,0.2549019607843137,0.5771153664748616,0.5049019607843137,0.025321052165441456,0.7551363078954804,0.3371459694989107,none,0.0,0.08333333333333333,stage1_screen,2026-09-08,ok
SNDK,"[""community""]","[""all-stocks #12 50 mentions 159 upvotes; options #3 4 mentions 13 upvotes""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""SNDK"", ""Name"": ""Sandisk"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #12 50 mentions 159 upvotes; options #3 4 mentions 13 upvotes""}]",1764.17,258308030464,Technology,Computer Hardware,6.664246,,3.716,,0.78472,0.9164,0.012769999999999998,7720875008,buy,1.54167,23,2125.087,0.082399994,0.46,USD,USD,EQUITY,2026-09-09T20:00:00+00:00,0.02989018573728023,0.20458175799384404,2026-11-06,2026-11-06,2026-11-06,estimated,58,46.20664,10688121470.0,0q,46.20664,43.8017,0.05490517491330253,10,3,"[""peg"", ""earnings_growth""]",2026-09-09T20:27:04.216420+00:00,partial,{},-0.0012902929166079824,0.10811250306893228,0.4033499430638896,348230329.93000007,0.831706333679588,0.24183006535947713,0.062022297510048334,0.05412395278544444,0.8623110425999221,0.3997821350762527,0.0208305718300141,0.02178649237472767,0.11964124373442607,1.9290037379708933,0.738562091503268,none,0.0,0.0,stage1_screen,2026-09-08,ok
META,"[""community""]","[""all-stocks #4 109 mentions 286 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""META"", ""Name"": ""Meta Platforms (Facebook)"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 109 mentions 286 upvotes""}]",653.69,1665279328256,Communication Services,Internet Content & Information,18.698408,0.8117,0.28,-0.134,0.34827,0.29848,0.42997,21553625088,strong_buy,1.35484,57,754.15295,0.0127,1.73,USD,USD,EQUITY,2026-09-09T20:00:01+00:00,0.01294294880281286,0.15368592146124316,2026-10-28,2026-10-28,2026-10-28,estimated,49,6.53026,63315198780.0,0q,6.53026,6.76256,-0.034350896701840654,7,33,[],2026-09-09T20:27:05.207553+00:00,ok,{},-0.005496554519659469,0.07139925063538777,0.030701238468130887,280212299.325,1.7052084417133555,0.8513071895424836,0.03008778345040902,0.02026654704349038,0.6054379903370302,0.16339869281045752,0.18369361175081672,0.15577342047930284,0.059465485196295804,1.9763996671375745,0.7538126361655774,none,0.0,0.36666666666666664,stage1_screen,2026-09-08,ok
AGI,"[""community""]","[""all-stocks #5 90 mentions 313 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""AGI"", ""Name"": ""Alamos Gold"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #5 90 mentions 313 upvotes""}]",36.93,15459063808,Basic Materials,Gold,12.082882,,0.356,0.688,0.66538,0.27413,0.04502,128937504,none,,4,46.25,,1.46,USD,USD,EQUITY,2026-09-09T20:00:03+00:00,0.008340576480011382,0.2523693474140265,2026-10-28,2026-10-28,2026-10-28,estimated,49,0.58297,535632610.0,0q,0.58297,0.66879,-0.12832129667010572,3,2,"[""peg"", ""analyst_score"", ""short_float""]",2026-09-09T20:27:06.037668+00:00,partial,{},-0.013924564012437468,-0.004368004368004441,0.0984939759036143,10832583.115,0.8385208807616801,0.24836601307189543,0.04215793803125856,0.031141774240139346,1.1043507199362808,0.7026143790849673,0.33495934959349644,0.3055555555555556,0.018926514943789385,0.4489430894308938,0.2037037037037037,none,0.0,0.2833333333333333,stage1_screen,2026-09-08,ok
IBKR,"[""community""]","[""options #5 2 mentions 7 upvotes""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""IBKR"", ""Name"": ""Interactive Brokers"", ""Best source rank"": ""5"", ""Source details"": ""options #5 2 mentions 7 upvotes""}]",90.28,153820463104,Financial Services,Capital Markets,28.385563,1.4686,0.263,0.353,0.76532996,0.24018998,2.05748,,buy,1.92857,13,105.73846,0.0207,1.75,USD,USD,EQUITY,2026-09-09T20:00:01+00:00,,0.17122795746566233,2026-10-20,2026-10-20,2026-10-20,estimated,41,0.69174,1904679770.0,0q,0.69174,0.70201,-0.014629421233315766,6,1,"[""free_cashflow"", ""fcf_yield""]",2026-09-09T20:27:06.950633+00:00,partial,{},-0.017386609071274317,-0.06437017994858618,0.003695328442998136,14152273.77,0.5334567897166544,0.04520697167755991,0.03628342204009859,0.02815330383496067,1.308106864911904,0.8709150326797386,0.4876676763305928,0.4340958605664488,-0.02078799868117384,0.5729337948939879,0.2581699346405229,none,0.0,0.45,stage1_screen,2026-09-08,ok
AM,"[""community""]","[""all-stocks #49 10 mentions 27 upvotes; options #6 2 mentions 14 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""AM"", ""Name"": ""Antero Midstream"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #49 10 mentions 27 upvotes; options #6 2 mentions 14 upvotes""}]",22.84,10841553920,Energy,Oil & Gas Midstream,14.16979,,0.083,-0.08,0.52005,0.19822,1.8554499999999998,432616640,hold,3.14286,7,24.28571,0.0318,4.78,USD,USD,EQUITY,2026-09-09T20:00:03+00:00,0.039903563934864425,0.06329728546409807,2026-10-28,2026-10-28,2026-10-28,estimated,49,0.36374,342110960.0,0q,0.36374,0.3404,0.06856639247943604,0,1,"[""peg""]",2026-09-09T20:27:08.111406+00:00,partial,{},0.01327433628318575,0.021181716833890585,0.04423164614683084,2878623.79,1.4008850967273179,0.7314814814814815,0.020524017467248926,0.012393711249034893,0.4118158371152035,0.06045751633986928,0.638297872340419,0.5413943355119826,0.02490174672489074,1.2132978723404202,0.5266884531590414,bullish,0.06382978723403736,0.0,stage1_screen,2026-09-08,ok
QQQ,"[""community""]","[""all-stocks #6 74 mentions 139 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""QQQ"", ""Name"": ""Invesco QQQ ETF"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #6 74 mentions 139 upvotes""}]",716.31,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-09T20:00:00+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-09T20:27:09.916731+00:00,partial,{},-0.0009317202058128915,0.002427827931183568,-0.0032949271994505702,369672292.405,1.2265886376532522,0.6138344226579521,0.01136853973247221,0.007870060242600873,0.9963633988952907,0.5637254901960784,0.08203244566881812,0.06971677559912855,0.0012708266636970856,0.11178451178449908,0.0528322440087146,none,0.0,0.03333333333333333,stage1_screen,2026-09-08,ok
