ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
SPY,"[""community""]","[""all-stocks #1 219 mentions 591 upvotes; options #1 16 mentions 19 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 219 mentions 591 upvotes; options #1 16 mentions 19 upvotes""}]",756.9299,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-15T18:48:48+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:48:50.877571+00:00,partial,{},-0.0044298165257675715,-0.012237399049572772,-0.020024475074069237,972124597.97,1.0911692761914353,0.42732716385410996,0.007322612780348824,0.005411933228630727,0.9935871655364837,0.592814371257485,0.6076420053853059,0.5111594991834513,-0.007992389139736154,1.091466854724964,0.3685356559608057,none,0.0,0.05,stage1_screen,2026-09-14,ok
DTE,"[""community""]","[""all-stocks #6 46 mentions 560 upvotes; options #2 4 mentions 23 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #6 46 mentions 560 upvotes; options #2 4 mentions 23 upvotes""}]",130.26,27105550336,Utilities,Utilities - Regulated Electric,15.571561,1.6846,-0.015,0.224,0.13623999,0.1103,2.2906,-2596624896,buy,1.94118,14,156.85715,0.0271,3.79,USD,USD,EQUITY,2026-09-15T18:48:48+00:00,-0.09579679673765248,0.20418509135575014,2026-10-29,2026-10-29,2026-10-29,estimated,44,2.40395,3437875010,0q,2.40395,2.47395,-0.0282948321510135,3,3,[],2026-09-15T18:48:50.370958+00:00,ok,{},-0.011162229429066972,-0.03623934137018503,-0.06928373677859012,6274064.81,1.6982935605642508,0.8219923788786064,0.013423842574937067,0.008292747516564478,0.9965906755686849,0.5960805661404464,0.8409090909090855,0.6586826347305389,-0.043888719395926964,3.2694602272727202,0.9009254218835057,bearish,0.7017045454545374,0.2,stage1_screen,2026-09-14,ok
NVDA,"[""community""]","[""all-stocks #2 91 mentions 528 upvotes; options #4 2 mentions 9 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 91 mentions 528 upvotes; options #4 2 mentions 9 upvotes""}]",211.99,5118922588160,Technology,Semiconductors,13.576144,0.4482,1.059,1.278,0.66236997,1.17211,0.16971,41809874944,strong_buy,1.29508,58,328.66034,0.0128999995,2.33,USD,USD,EQUITY,2026-09-15T18:48:49+00:00,0.00816770994753968,0.5503577527241852,2026-11-17,2026-11-17,2026-11-17,estimated,63,2.47269,108988683310,0q,2.47269,2.34527,0.05433063144115597,35,1,[],2026-09-15T18:48:52.165601+00:00,ok,{},-0.03286428014850795,-0.08336591511360181,-0.06288861254219225,691905804.81,0.7588649632976912,0.12357103973870441,0.03621530128639132,0.02782043749837009,0.40961869806780654,0.048448557430593356,0.938306225462702,0.708764289602613,-0.04354502369668241,1.2023929706487182,0.4033750680457267,none,0.0,0.08333333333333333,stage1_screen,2026-09-14,ok
MU,"[""community""]","[""all-stocks #3 65 mentions 130 upvotes; options #26 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #3 65 mentions 130 upvotes; options #26 1 mentions 1 upvotes""}]",922.06,1041368219648,Technology,Semiconductors,5.9081388,0.1357,3.457,13.685,0.80370003,0.66638,0.0633,7639499776,strong_buy,1.34694,45,1513.1111,0.026400002,0.95,USD,USD,EQUITY,2026-09-15T18:48:51+00:00,0.007336021622190736,0.6410115393792162,2026-09-30,2026-09-30,2026-09-30,estimated,15,31.33121,50787211780,0q,31.33121,31.34925,-0.0005754523632942644,0,2,[],2026-09-15T18:48:52.486845+00:00,ok,{},-0.052424317007137566,-0.08965517241379306,-0.04936315562048599,542759677.3275,1.1787410531536566,0.5051714752313554,0.047209724799010505,0.03466930136624066,0.8482205285510671,0.43984757757212845,1.1718915024438972,0.7925966249319543,-0.04153679653679653,0.8798355998395297,0.28851388132825256,none,0.0,0.0,stage1_screen,2026-09-14,ok
UBER,"[""community""]","[""options #3 3 mentions 23 upvotes""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""UBER"", ""Name"": ""Uber"", ""Best source rank"": ""3"", ""Source details"": ""options #3 3 mentions 23 upvotes""}]",71.595,146237095936,Technology,Software - Application,16.250612,6.1574,0.122,0.855,0.13317999,0.3716,0.51872,7244749824,buy,1.56863,47,101.21489,0.0229,2.39,USD,USD,EQUITY,2026-09-15T18:48:52+00:00,0.04954112209100919,0.4137145052028772,2026-11-03,2026-11-03,2026-11-03,estimated,49,0.95807,14681331030,0q,0.95807,0.97363,-0.015981430317471748,14,11,[],2026-09-15T18:48:53.733386+00:00,ok,{},0.013747383112351796,-0.041122112211221085,-0.04314319588986948,52384088.925,1.323326278764755,0.61295590636908,0.034030229425011556,0.02080943155908552,1.0677330804714336,0.6891671203048448,0.39849732697587026,0.3652694610778443,-0.047910786810766014,1.4078890333766754,0.4719651605879151,none,0.0,0.7166666666666667,stage1_screen,2026-09-14,ok
QQQ,"[""community""]","[""all-stocks #4 53 mentions 103 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""QQQ"", ""Name"": ""Invesco QQQ ETF"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 53 mentions 103 upvotes""}]",704.43,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-15T18:48:52+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:48:54.780684+00:00,partial,{},-0.007903313796528089,-0.013711583924349902,-0.029827165222387042,365974629.005,1.1938399398044819,0.5149700598802395,0.010871294826655522,0.007903206651881557,0.8457164577831089,0.437125748502994,0.73278058270415,0.5884594447468698,-0.009102348993288543,0.8372828755384621,0.2754491017964072,none,0.0,0.0,stage1_screen,2026-09-14,ok
MSFT,"[""community""]","[""all-stocks #19 25 mentions 30 upvotes; options #5 1 mentions 2 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""MSFT"", ""Name"": ""Microsoft"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #19 25 mentions 30 upvotes; options #5 1 mentions 2 upvotes""}]",498.14,3698961416192,Technology,Software - Infrastructure,21.114176,1.6413,0.177,0.317,0.45111,0.34039003,0.29118,16545500160,strong_buy,1.36364,52,572.91516,0.01,2.49,USD,USD,EQUITY,2026-09-15T18:48:50+00:00,0.004473012367085794,0.1501087244549726,2026-10-28,2026-10-28,2026-10-28,estimated,43,4.72455,90659206720,0q,4.72455,4.72092,0.0007689179227778155,17,5,[],2026-09-15T18:48:55.612225+00:00,ok,{},0.020460874127285367,0.012361248736350028,0.020934692641566555,239081973.29500002,1.7281535415003886,0.833968426782798,0.01957393136800712,0.014045480176784364,0.7612069305011583,0.3385955362003266,1.0243532849875583,0.7495917256396298,0.022297911888001374,1.1391636901540638,0.38432226456178553,none,0.0,0.06666666666666667,stage1_screen,2026-09-14,ok
USO,"[""community""]","[""all-stocks #5 50 mentions 98 upvotes""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""USO"", ""Name"": ""United States Commodity Funds LLC - United States Oil Fund"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #5 50 mentions 98 upvotes""}]",162.0,,,,,,,,,,,,,,,,,,USD,,ETF,2026-09-15T18:48:53+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""financial_currency"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-15T18:48:57.165275+00:00,partial,{},0.011299070247933862,0.1030281690140844,0.2369106846718787,7855332.08,1.3454194935676418,0.6287425149700598,0.029434700522614727,0.023651207458509783,1.058899021678884,0.6750136091453457,0.37958013788829487,0.3473053892215569,0.1246648151695078,4.235300952823611,0.9667936853565596,none,0.0,0.6166666666666667,stage1_screen,2026-09-14,ok
AAPL,"[""community""]","[""all-stocks #3 12 mentions 52 upvotes; options #6 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""AAPL"", ""Name"": ""Apple"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #3 12 mentions 52 upvotes; options #6 1 mentions 1 upvotes""}]",330.3975,4821880406016,Technology,Consumer Electronics,34.477997,2.6745,0.164,0.287,0.32623002,1.4875101,0.78445,107721875456,buy,2.20455,39,327.1964,0.0095999995,2.97,USD,USD,EQUITY,2026-09-15T18:48:56+00:00,0.022340221321458166,-0.009688632631905447,2026-10-29,2026-10-29,2026-10-29,estimated,44,1.97754,113624521680,0q,1.97754,1.97656,0.0004958109037924378,7,14,[],2026-09-15T18:48:57.550532+00:00,ok,{},0.0022724194495025163,0.04078762306610417,0.08844871543439892,355530838.47749996,1.1720006791734616,0.4986390854654328,0.02337301587301588,0.01447349791226904,1.1292383386281786,0.7539466521502449,0.09700362501720675,0.09363091997822537,0.04906606606606606,2.099261230670398,0.6913445835601524,none,0.0,0.18333333333333332,stage1_screen,2026-09-14,ok
GOOG,"[""community""]","[""all-stocks #24 17 mentions 28 upvotes; options #7 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""GOOG"", ""Name"": ""Alphabet (Google)"", ""Best source rank"": ""7"", ""Source details"": ""all-stocks #24 17 mentions 28 upvotes; options #7 1 mentions 1 upvotes""}]",340.65,4166127190016,Communication Services,Internet Content & Information,22.928848,1.2355,0.242,2.94,0.34033,0.48676,0.18859,22665000960,strong_buy,1.37097,15,422.336,,2.58,USD,USD,EQUITY,2026-09-15T18:48:50+00:00,0.005440304610554378,0.23979451049464262,2026-10-28,2026-10-28,2026-10-28,estimated,43,3.00752,127227149560,0q,3.00752,2.99803,0.003165411953849694,16,16,"[""short_float""]",2026-09-15T18:48:58.754024+00:00,partial,{},0.03083069950503914,0.03121504526405272,0.006389636853213254,206639727.78250003,0.9746161196162917,0.31736526946107785,0.019909794879423445,0.012975130539590875,1.306616986166337,0.899292324442025,1.502205157474194,0.8655416439847577,0.022262958463496494,1.1181912520105879,0.3799673380511704,none,0.0,0.03333333333333333,stage1_screen,2026-09-14,ok
