ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
DTE,"[""community""]","[""all-stocks #8 57 mentions 188 upvotes; options #1 9 mentions 46 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #8 57 mentions 188 upvotes; options #1 9 mentions 46 upvotes""}]",135.055,28103331840,Utilities,Utilities - Regulated Electric,16.144766,1.7479,-0.015,0.224,0.13623999,0.1103,2.2906,-2596624896,buy,1.94118,14,156.85715,0.023699999,3.2,USD,USD,EQUITY,2026-09-10T16:08:47+00:00,-0.09239562450400188,0.16143163896190438,2026-10-29,2026-10-29,2026-10-29,estimated,49,2.40395,3437875010,0q,2.40395,2.47395,-0.0282948321510135,3,3,[],2026-09-10T16:09:55.220845+00:00,ok,{},-0.008852459016393421,3.6756597809217695e-05,-0.011732655285143556,6274064.81,1.1065144925936554,0.537833424060969,0.01319775898009442,0.008226296152646327,0.8845837372820267,0.5100707675557975,0.6767455739009364,0.6445291235710398,-0.010769287315764351,0.8159936343743797,0.30484485574305936,none,0.0,0.016666666666666666,stage1_screen,2026-09-09,ok
SPY,"[""community""]","[""all-stocks #1 217 mentions 611 upvotes; options #3 8 mentions 12 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 217 mentions 611 upvotes; options #3 8 mentions 12 upvotes""}]",758.08,,,,,,,,,,,,,,,,,,USD,USD,ETF,2026-09-10T16:09:53+00:00,,,,,,,,,,0q,,,,,,"[""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-10T16:09:55.811033+00:00,partial,{},-0.004745059133749341,0.0010438139253967638,-0.01050589212479891,944578978.595,0.933173011773154,0.37615677735438213,0.007120606710730319,0.005170528931885641,1.2061028982834188,0.8345127925966249,0.6695612130780864,0.6352749047359826,-0.0081758861527364,1.1482007762647302,0.4180729450190528,none,0.0,0.03333333333333333,stage1_screen,2026-09-09,ok
AAPL,"[""community""]","[""all-stocks #2 158 mentions 11709 upvotes; options #9 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""AAPL"", ""Name"": ""Apple"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 158 mentions 11709 upvotes; options #9 1 mentions 1 upvotes""}]",320.115,4671816073216,Technology,Consumer Electronics,33.423405,2.4777,0.164,0.287,0.32623002,1.4875101,0.78445,107721875456,buy,2.23256,38,323.85947,0.008,2.19,USD,USD,EQUITY,2026-09-10T16:09:55+00:00,0.02305781601154646,0.011697265045374161,2026-10-29,2026-10-29,2026-10-29,estimated,49,1.97754,113615966130,0q,1.97754,1.97549,0.001037717224587372,7,14,[],2026-09-10T16:09:56.770031+00:00,ok,{},-0.0026560424966798335,-0.03022290545734041,0.03455401216852261,355530838.47749996,2.157356769205187,0.9308655416439847,0.023390581265795254,0.012578774003848601,0.9408836679087221,0.5743059335873707,0.11385419692128623,0.09961894393032118,0.005876291928222677,0.2512247071352499,0.0979858464888405,none,0.0,0.11666666666666667,stage1_screen,2026-09-09,ok
MU,"[""community""]","[""all-stocks #3 95 mentions 182 upvotes; options #2 8 mentions 11 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #3 95 mentions 182 upvotes; options #2 8 mentions 11 upvotes""}]",980.165,1106991644672,Technology,Semiconductors,6.3226156,0.151,3.457,13.685,0.80370003,0.66638,0.0633,7639499776,strong_buy,1.34694,45,1513.1111,0.026600001,0.7,USD,USD,EQUITY,2026-09-10T16:09:55+00:00,0.006901135896345064,0.5437310044737367,2026-09-30,2026-09-30,2026-09-30,estimated,20,31.28341,50784289620,0q,31.28341,31.31417,-0.0009823028999331863,0,2,[],2026-09-10T16:09:57.282672+00:00,ok,{},0.027422595899107227,0.101099277862301,0.18370661306949398,592137881.0,0.8659918778091117,0.3081110506260207,0.042006422107618936,0.03331490768135556,0.7283195957932943,0.32389765922700053,0.6353949501968977,0.6042460533478498,0.07591198793422209,1.8071519573778105,0.6194882961350027,none,0.0,0.0,stage1_screen,2026-09-09,ok
META,"[""community"", ""rrf""]","[""all-stocks #4 91 mentions 452 upvotes"", ""bullish 20-day breakout, 5-day momentum is in the 96% percentile, relative volume 2.65x; stock moved 2.27 ATR today and is 4.28 ATR from its 20-day mean""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""META"", ""Name"": ""Meta Platforms (Facebook)"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 91 mentions 452 upvotes""}, {""from"": ""rrf"", ""Rank"": ""19"", ""Ticker"": ""META"", ""RRF score"": ""0.097285"", ""Category rank and score"": ""momentum_breakout r7 s=0.9726; stretched_reversal r16 s=0.982"", ""Direction"": ""bearish_reversal"", ""Risk"": ""normal"", ""Price"": ""$653.41"", ""Reasons"": ""bullish 20-day breakout, 5-day momentum is in the 96% percentile, relative volume 2.65x; stock moved 2.27 ATR today and is 4.28 ATR from its 20-day mean""}]",651.66,1660107751424,Communication Services,Internet Content & Information,18.64034,0.8649,0.28,-0.134,0.34827,0.29848,0.42997,21553625088,strong_buy,1.35484,57,754.15295,0.0127,1.73,USD,USD,EQUITY,2026-09-10T16:09:56+00:00,0.012983268748376017,0.15727979314366403,2026-10-28,2026-10-28,2026-10-28,estimated,48,6.53026,63315198780,0q,6.53026,6.76256,-0.034350896701840654,7,33,[],2026-09-10T16:09:58.341479+00:00,ok,{},0.06529607408373539,0.12906068565109186,0.0906344410876132,293029460.605,2.6478839340826923,0.9635274904735982,0.027021428243478748,0.024330642297730028,0.9445396174695134,0.577572128470332,2.2683415255780033,0.9891126837234622,0.11571639552501485,4.282393753666275,0.974959172563963,bullish,1.6402289782956023,0.4166666666666667,stage1_screen,2026-09-09,ok
NVDA,"[""community""]","[""all-stocks #5 69 mentions 157 upvotes; options #4 5 mentions 9 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #5 69 mentions 157 upvotes; options #4 5 mentions 9 upvotes""}]",218.925,5286381748224,Technology,Semiconductors,14.062925,0.5682,1.059,1.278,0.66236997,1.17211,0.16971,41809874944,strong_buy,1.28333,57,327.6544,0.0123000005,2.35,USD,USD,EQUITY,2026-09-10T16:09:56+00:00,0.00790897762123334,0.49665136462258763,2026-11-17,2026-11-17,2026-11-17,estimated,68,2.46983,108893417480,0q,2.46983,2.34527,0.05311115564519214,35,1,[],2026-09-10T16:09:58.730259+00:00,ok,{},-0.009078026746966561,0.028874890799577058,0.029064152678776933,747543688.32,0.6491898465981548,0.10887316276537834,0.034616219460032294,0.02727366717663056,0.6674295706063365,0.2640174197060425,0.2646502835538731,0.26292868807838865,0.014530544755776115,0.4197611692563079,0.15568862275449102,none,0.0,0.1,stage1_screen,2026-09-09,ok
CC,"[""community""]","[""all-stocks #31 20 mentions 25 upvotes; options #5 4 mentions 5 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""CC"", ""Name"": ""Chemours"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #31 20 mentions 25 upvotes; options #5 4 mentions 5 upvotes""}]",15.23,2292099584,Basic Materials,Specialty Chemicals,7.899091,,-0.015,,0.01131,-3.19372,,303124992,buy,2.22222,9,19.0,0.1261,4.58,USD,USD,EQUITY,2026-09-10T16:09:57+00:00,0.13224774094282982,0.24753775443204207,2026-11-05,2026-11-05,2026-11-05,estimated,56,0.26812,1534897140,0q,0.26812,0.338,-0.2067455621301775,0,8,"[""peg"", ""earnings_growth"", ""debt_to_equity"", ""pct_relative_volume"", ""pct_vol_expansion"", ""pct_normalized_move"", ""pct_stretch_atr""]",2026-09-10T16:09:59.919510+00:00,partial,{},-0.025889967637540368,-0.0029811195760185427,0.01586230172122849,1258566.31,0.9933091998502059,,0.036805885144755565,0.02169931855428874,1.0437766317356705,,0.7221147646679538,,-0.03265780730897,0.8872985170857486,,none,0.0,0.0,stage1_screen,2026-09-09,partial
AVAV,"[""community""]","[""all-stocks #6 67 mentions 124 upvotes""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""AVAV"", ""Name"": ""AeroVironment"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #6 67 mentions 124 upvotes""}]",156.52,7954756096,Industrials,Aerospace & Defense,35.549217,,1.333,,0.02812,-0.10029,0.18971,-251387504,buy,1.6,19,225.76685,0.0955,2.81,USD,USD,EQUITY,2026-09-10T16:09:58+00:00,-0.03160216365733811,0.4424153462816254,2026-12-02,2026-12-02,2026-12-02,estimated,83,0.56585,524581460,0q,0.56585,0.54341,0.041294786625200156,1,0,"[""peg"", ""earnings_growth""]",2026-09-10T16:10:00.342935+00:00,partial,{},-0.05278375470683161,-0.023126798654693026,-0.2809820334830543,6206536.605,2.0822582133020573,0.91943385955362,0.04958725876948351,0.032017092372060095,0.9011611116599344,0.5307566684812194,1.123779334321795,0.9020141535111595,-0.15036026123376167,3.0322357993762474,0.8764289602612956,none,0.0,0.9,stage1_screen,2026-09-09,ok
TSLA,"[""community""]","[""all-stocks #17 36 mentions 67 upvotes; options #6 3 mentions 4 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""TSLA"", ""Name"": ""Tesla"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #17 36 mentions 67 upvotes; options #6 3 mentions 4 upvotes""}]",366.52,1447588134912,Consumer Cyclical,Auto Manufacturers,169.7968,4.4012,0.255,-0.03,0.014099999,0.046669997,0.18373,4835999744,buy,2.36957,39,390.09283,0.0196,1.82,USD,USD,EQUITY,2026-09-10T16:10:00+00:00,0.0033407290563997227,0.06431526246862385,2026-10-21,2026-10-21,2026-10-21,estimated,41,0.45154,27533944910,0q,0.45154,0.45385,-0.005089787374683219,4,15,[],2026-09-10T16:10:01.732061+00:00,ok,{},-0.0007876582106578489,0.03316670411143563,0.10542209401902003,248695706.17000002,0.7679678558900751,0.20740337506804574,0.04263793913553351,0.03204185824564345,1.2405291483541099,0.8666303756124115,0.018487739350198255,0.014697876973326075,0.047837668868411724,1.1219507752555724,0.40772999455634185,none,0.0,0.0,stage1_screen,2026-09-09,ok
AEO,"[""community""]","[""all-stocks #7 67 mentions 155 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""AEO"", ""Name"": ""American Eagle Outfitters"", ""Best source rank"": ""7"", ""Source details"": ""all-stocks #7 67 mentions 155 upvotes""}]",14.3813,2409922304,Consumer Cyclical,Apparel Retail,7.446628,,0.097,,0.023610001,0.17569,1.1406399999999999,144004128,hold,2.92857,11,19.54545,0.1283,3.9,USD,USD,EQUITY,2026-09-10T16:10:00+00:00,0.05975467663873698,0.3590878432408753,2026-12-01,2026-12-01,2026-12-01,estimated,82,0.22,1372134750,0q,0.22,0.20667,0.06449895969419853,0,3,"[""peg"", ""earnings_growth""]",2026-09-10T16:10:02.252653+00:00,partial,{},-0.0194371917609516,0.0193003618817853,-0.026497695852534586,5637156.1850000005,2.4229196526739742,0.9520958083832335,0.039539306846999134,0.0280926148026014,0.5756652936675267,0.18562874251497005,0.5013361838589006,0.49918345127925967,0.012278106508875716,0.31052912880812356,0.12030484485574305,none,0.0,0.016666666666666666,stage1_screen,2026-09-09,ok
