ticker,from,reason_shortlist,shortlist_details,price,market_cap,sector,industry,forward_pe,peg,revenue_growth,earnings_growth,operating_margin,roe,debt_to_equity,free_cashflow,analyst_recommendation,analyst_score,analyst_count,analyst_target_mean,short_float,short_ratio,currency,financial_currency,instrument_type,price_as_of,fcf_yield,analyst_upside,next_earnings_date,earnings_date_start,earnings_date_end,earnings_date_status,days_to_earnings,next_eps_estimate,next_revenue_estimate,eps_estimate_period,eps_consensus_current,eps_consensus_30d_ago,eps_revision_30d,eps_revisions_up_30d,eps_revisions_down_30d,missing_fields,yahoo_fetched_at,yahoo_status,yahoo_errors,return_1d,return_5d,return_20d,median_dollar_volume_20,relative_volume_20,pct_relative_volume,atr14_pct,rv20,vol_expansion,pct_vol_expansion,normalized_move_1d,pct_normalized_move,distance_sma20,stretch_atr,pct_stretch_atr,breakout_direction,breakout_strength,bb_width_percentile_60,technical_source,technical_as_of,technical_status
DTE,"[""community""]","[""all-stocks #7 70 mentions 252 upvotes; options #1 6 mentions 22 upvotes""]","[{""from"": ""community"", ""Rank"": ""1"", ""Ticker"": ""DTE"", ""Name"": ""DTE Energy"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #7 70 mentions 252 upvotes; options #1 6 mentions 22 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:38.471909+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.011871944720108885,-0.011908262275801218,-0.03008875099213515,6274064.81,1.7151371994966775,0.8557483731019523,0.013273960082470717,0.008396586311635278,1.0364630026925676,0.7001084598698482,0.9051240992794289,0.762472885032538,-0.022312527897634413,1.680924739791844,0.5211496746203904,bearish,0.06725380304243653,0.03333333333333333,stage1_screen,2026-09-10,ok
SPY,"[""community""]","[""all-stocks #1 279 mentions 1561 upvotes; options #2 2 mentions 43 upvotes""]","[{""from"": ""community"", ""Rank"": ""2"", ""Ticker"": ""SPY"", ""Name"": ""SPDR S&amp;P 500 ETF Trust"", ""Best source rank"": ""1"", ""Source details"": ""all-stocks #1 279 mentions 1561 upvotes; options #2 2 mentions 43 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:38.471816+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.005974358133586821,-0.009488583639381543,-0.01898930799699683,944578978.595,1.08302208597346,0.5325379609544468,0.007159633484069054,0.005248518936420142,1.1787483900995157,0.8486984815618221,0.8394655433423217,0.7180043383947939,-0.01370122844287274,1.9136773514118328,0.586767895878525,bearish,0.2985585466991394,0.1,stage1_screen,2026-09-10,ok
ORCL,"[""community""]","[""all-stocks #2 256 mentions 576 upvotes""]","[{""from"": ""community"", ""Rank"": ""3"", ""Ticker"": ""ORCL"", ""Name"": ""Oracle"", ""Best source rank"": ""2"", ""Source details"": ""all-stocks #2 256 mentions 576 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:39.066262+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.052870931815369504,0.05058165471329046,-0.0014025702916041771,93877994.4375,2.2758219060231717,0.9392624728850325,0.04179323860852519,0.030252968996208947,1.2415334447633068,0.89587852494577,1.3356779992184484,0.9143167028199566,0.022371386575208197,0.5352872215709259,0.17407809110629066,none,0.0,0.13333333333333333,stage1_screen,2026-09-10,ok
SMA,"[""community""]","[""options #3 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""4"", ""Ticker"": ""SMA"", ""Name"": ""SmartStop Self Storage REIT"", ""Best source rank"": ""3"", ""Source details"": ""options #3 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d"", ""pct_relative_volume"", ""pct_vol_expansion"", ""pct_normalized_move"", ""pct_stretch_atr""]",2026-09-11T14:33:39.066562+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.005330824709940396,-0.012474973047897797,-0.04824105685023006,1261202.145,0.5051831282099672,,0.018948845913911407,0.01081323155467613,1.4012917463628511,,0.279835390946505,,-0.04394104803493443,2.3189300411522606,,none,0.0,0.6666666666666666,stage1_screen,2026-09-10,partial
USO,"[""community"", ""rrf""]","[""all-stocks #3 126 mentions 266 upvotes"", ""bullish 20-day breakout, 5-day momentum is in the 96% percentile, relative volume 2.62x; stock moved 2.11 ATR today and is 6.10 ATR from its 20-day mean""]","[{""from"": ""community"", ""Rank"": ""5"", ""Ticker"": ""USO"", ""Name"": ""United States Commodity Funds LLC - United States Oil Fund"", ""Best source rank"": ""3"", ""Source details"": ""all-stocks #3 126 mentions 266 upvotes""}, {""from"": ""rrf"", ""Rank"": ""19"", ""Ticker"": ""USO"", ""RRF score"": ""0.084127"", ""Category rank and score"": ""momentum_breakout r8 s=0.9709; stretched_reversal r25 s=0.9845"", ""Direction"": ""bearish_reversal"", ""Risk"": ""normal"", ""Price"": ""$158.34"", ""Reasons"": ""bullish 20-day breakout, 5-day momentum is in the 96% percentile, relative volume 2.62x; stock moved 2.11 ATR today and is 6.10 ATR from its 20-day mean""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:39.655351+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.055881568418244765,0.12170586568432995,0.2439311807683242,7902125.220000001,2.62011876605809,0.9631236442516269,0.02513578375647341,0.02337626096456858,0.8208670801109117,0.4094360086767896,2.105527638190954,0.9734273318872018,0.15334564860426936,6.100690954773873,0.9956616052060737,bullish,2.0979899497487424,0.4166666666666667,stage1_screen,2026-09-10,ok
AAPL,"[""community""]","[""all-stocks #4 88 mentions 513 upvotes""]","[{""from"": ""community"", ""Rank"": ""6"", ""Ticker"": ""AAPL"", ""Name"": ""Apple"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #4 88 mentions 513 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:39.655332+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",0.03549235939382411,0.0048764729409593865,0.08079086697551308,355530838.47749996,1.932533681168424,0.9023861171366594,0.02251668084529404,0.014245283498572903,1.438622353957382,0.9745119305856833,1.5222416472416465,0.9316702819956616,0.038337951410682296,1.7026466588966587,0.5244034707158352,none,0.0,0.1,stage1_screen,2026-09-10,ok
SNDK,"[""community""]","[""all-stocks #11 38 mentions 60 upvotes; options #4 1 mentions -2 upvotes""]","[{""from"": ""community"", ""Rank"": ""7"", ""Ticker"": ""SNDK"", ""Name"": ""Sandisk"", ""Best source rank"": ""4"", ""Source details"": ""all-stocks #11 38 mentions 60 upvotes; options #4 1 mentions -2 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:40.278300+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.04083698092667776,0.08934637092749576,0.25829905610556136,373639274.445,0.7906849069954698,0.24295010845986983,0.05560948381019374,0.0546816347130433,0.9313228460529519,0.5656182212581344,0.7656183563141602,0.6735357917570499,0.06638445464460199,1.1937613891757273,0.381236442516269,none,0.0,0.0,stage1_screen,2026-09-10,ok
NVDA,"[""community"", ""experts""]","[""all-stocks #5 72 mentions 386 upvotes"", ""Fresh bullish initiation from Piper Sandler.""]","[{""from"": ""community"", ""Rank"": ""8"", ""Ticker"": ""NVDA"", ""Name"": ""NVIDIA"", ""Best source rank"": ""5"", ""Source details"": ""all-stocks #5 72 mentions 386 upvotes""}, {""from"": ""experts"", ""Rank"": ""6"", ""Ticker"": ""NVDA"", ""Company"": ""NVIDIA"", ""Direction"": ""bullish"", ""Strength"": ""medium"", ""Event dates"": ""2026-09-10"", ""Events"": ""1"", ""Firms"": ""1"", ""Sources"": ""24/7 Wall St."", ""Summary"": ""NVIDIA received fresh Overweight initiation coverage from Piper Sandler with a $300 target price."", ""Reason"": ""Fresh bullish initiation from Piper Sandler.""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:40.278290+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.02413192116905749,-0.027023414351593944,-0.025612422471107954,712349524.6400001,0.7986281655479158,0.25108459869848154,0.034337199641499665,0.026991709376273675,0.5921777756283588,0.17407809110629066,0.7201714693974768,0.6447939262472885,-0.01128589091908223,0.3286782567277908,0.10574837310195227,none,0.0,0.1,stage1_screen,2026-09-10,ok
TE,"[""community""]","[""options #5 1 mentions 1 upvotes""]","[{""from"": ""community"", ""Rank"": ""9"", ""Ticker"": ""TE"", ""Name"": ""T1 Energy"", ""Best source rank"": ""5"", ""Source details"": ""options #5 1 mentions 1 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d"", ""pct_relative_volume"", ""pct_vol_expansion"", ""pct_normalized_move"", ""pct_stretch_atr""]",2026-09-11T14:33:40.906708+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.06619144602851323,0.07126168224299056,-0.06428571428571439,3662976.995,0.8998958917273965,,0.07828322168562081,0.05223186245861582,1.119959216239888,,0.9054726368159209,,-0.015049073064340229,0.1922388059701491,,none,0.0,0.0,stage1_screen,2026-09-10,partial
MU,"[""community""]","[""all-stocks #6 70 mentions 115 upvotes""]","[{""from"": ""community"", ""Rank"": ""10"", ""Ticker"": ""MU"", ""Name"": ""Micron Technology"", ""Best source rank"": ""6"", ""Source details"": ""all-stocks #6 70 mentions 115 upvotes""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0q,,,,,,"[""price"", ""market_cap"", ""sector"", ""industry"", ""forward_pe"", ""peg"", ""revenue_growth"", ""earnings_growth"", ""operating_margin"", ""roe"", ""debt_to_equity"", ""free_cashflow"", ""analyst_recommendation"", ""analyst_score"", ""analyst_count"", ""analyst_target_mean"", ""short_float"", ""short_ratio"", ""currency"", ""financial_currency"", ""instrument_type"", ""price_as_of"", ""fcf_yield"", ""analyst_upside"", ""next_earnings_date"", ""earnings_date_start"", ""earnings_date_end"", ""earnings_date_status"", ""days_to_earnings"", ""next_eps_estimate"", ""next_revenue_estimate"", ""eps_consensus_current"", ""eps_consensus_30d_ago"", ""eps_revision_30d"", ""eps_revisions_up_30d"", ""eps_revisions_down_30d""]",2026-09-11T14:33:40.905103+00:00,error,"{""info"": ""DNSError"", ""calendar"": ""DNSError"", ""get_eps_trend"": ""DNSError"", ""get_eps_revisions"": ""DNSError"", ""get_earnings_estimate"": ""DNSError"", ""get_revenue_estimate"": ""DNSError""}",-0.04595699133988518,0.02632088556250478,0.07590255678700775,563733101.1500001,0.939500032692587,0.4002169197396963,0.04443313629469248,0.034072512760944744,1.044689914305933,0.7114967462039046,1.0841182787765515,0.846529284164859,0.023264352810386916,0.5235811547510734,0.1702819956616052,none,0.0,0.0,stage1_screen,2026-09-10,ok
